GPL_NAME,GPL_TYPE,GSS_CD,GSS_NM,GSS_ENTITY_CD,GSS_ENTITY_NM,16/02/2020,17/02/2020,18/02/2020,19/02/2020,20/02/2020,21/02/2020,22/02/2020,23/02/2020,24/02/2020,25/02/2020,26/02/2020,27/02/2020,28/02/2020,29/02/2020,01/03/2020,02/03/2020,03/03/2020,04/03/2020,05/03/2020,06/03/2020,07/03/2020,08/03/2020,09/03/2020,10/03/2020,11/03/2020,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020
UK,Retail & recreation,NA,UK,NA,NA,-7,10,7,6,5,5,-4,-1,-3,-1,1,2,1,1,7,4,2,2,-1,5,0,4,0,-2,0,-1,-2,-10,-11,-3,-15,-21,-21,-28,-50,-56,-45,-71,-73,-74,-76,-83,-85
UK,Grocery & pharmacy,NA,UK,NA,NA,-6,1,-1,-2,-2,-1,-2,-2,-1,4,0,1,1,1,2,4,3,3,2,6,2,2,4,5,5,11,11,7,7,20,21,22,24,10,1,-14,-8,-24,-26,-28,-29,-39,-46
UK,Parks,NA,UK,NA,NA,-28,24,20,8,4,10,-7,-5,-9,3,6,8,-13,-14,14,14,11,2,1,22,7,15,4,4,10,5,12,1,-1,29,6,-3,2,6,2,20,1,-14,-12,-11,-26,-54,-52
UK,Transit stations,NA,UK,NA,NA,-7,-2,-3,-4,-5,-3,-2,3,-2,1,-1,0,0,-2,5,0,-1,-2,-3,1,-1,2,-3,-4,-6,-8,-9,-15,-16,-16,-27,-34,-37,-40,-46,-46,-53,-64,-68,-70,-71,-74,-75
UK,Workplace,NA,UK,NA,NA,-3,-14,-14,-14,-14,-15,-2,-1,-2,1,1,0,-1,0,1,1,1,1,0,1,1,1,0,0,0,-1,-4,-2,-4,-9,-16,-23,-27,-29,-25,-30,-45,-58,-64,-66,-66,-57,-55
UK,Residential,NA,UK,NA,NA,1,2,2,3,3,3,1,0,1,0,0,0,1,0,-1,0,0,1,1,0,0,-1,1,1,1,2,2,2,2,4,7,10,11,13,11,9,17,24,26,27,28,20,15
Aberdeen City,Retail & recreation,S12000033,Aberdeen City,S12,Council Area,6,11,5,2,-1,0,0,3,-4,0,2,1,3,7,7,5,1,5,-1,0,-2,1,3,3,0,-5,-4,-13,-8,-6,-18,-24,-28,-35,-57,-60,-53,-75,-78,-80,-80,-87,-86
Aberdeen City,Grocery & pharmacy,S12000033,Aberdeen City,S12,Council Area,0,0,0,-2,3,-1,1,0,-7,6,0,2,0,4,3,3,4,6,5,2,2,5,2,5,4,9,9,8,5,17,17,19,20,7,1,-15,-14,-26,-26,-28,-28,-36,-41
Aberdeen City,Parks,S12000033,Aberdeen City,S12,Council Area,-13,24,26,9,-1,-10,0,4,-33,12,-8,-1,-18,2,-15,17,14,10,20,4,-15,21,-2,14,-8,-7,-8,-34,-22,-14,-10,-4,1,-9,-12,-6,-32,-30,-25,-16,-28,-55,-46
Aberdeen City,Transit stations,S12000033,Aberdeen City,S12,Council Area,4,2,1,4,-1,-3,3,18,1,6,6,5,7,9,16,8,4,1,2,2,3,10,1,3,-4,-8,-7,-11,-4,-16,-25,-28,-32,-34,-44,-44,-51,-59,-63,-67,-69,-73,-73
