Country,location,category,codes,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,headline_percent
UK,Aberdeen City,retail_recr,GB,6,11,5,2,-1,-0,0,3,-4,-0,2,1,3,7,7,5,1,5,-1,0,-2,1,3,3,0,-5,-4,-13,-8,-6,-18,-24,-28,-35,-57,-60,-53,-75,-78,-80,-80,-87,-86,-86
UK,Aberdeen City,grocery_pharm,GB,0,0,-0,-2,3,-1,1,0,-7,6,0,2,-0,4,3,3,4,6,5,2,2,5,2,5,4,9,9,8,5,17,17,19,20,7,1,-15,-14,-26,-26,-28,-28,-36,-41,-41
UK,Aberdeen City,parks,GB,-13,24,26,9,-1,-10,0,4,-33,12,-8,-1,-18,2,-15,17,14,10,20,4,-15,21,-2,14,-8,-7,-8,-34,-22,-14,-10,-4,1,-9,-12,-6,-32,-30,-25,-16,-28,-55,-46,-46
UK,Aberdeen City,transit,GB,4,2,1,4,-1,-3,3,18,1,6,6,5,7,9,16,8,4,1,2,2,3,10,1,3,-4,-8,-7,-11,-4,-16,-25,-28,-32,-34,-44,-44,-51,-59,-63,-67,-69,-73,-73,-73
UK,Aberdeen City,workplace,GB,2,-10,-6,-6,1,-1,3,4,0,2,1,3,1,3,2,2,1,1,2,1,1,0,-0,1,-0,0,-2,-2,-4,-9,-16,-24,-29,-31,-26,-32,-48,-61,-67,-69,-69,-60,-58,-57.99999999999999
UK,Aberdeen City,residential,GB,-1,1,1,2,0,1,1,-1,2,-0,1,0,0,-1,-1,-0,-0,0,-0,-0,0,-1,1,-0,1,1,1,3,1,4,7,10,12,13,11,8,18,24,27,28,30,NA,NA,30
UK,Aberdeenshire,retail_recr,GB,1,6,8,3,4,4,0,5,-11,2,1,9,4,9,13,9,11,10,14,12,6,13,9,9,8,10,9,5,7,11,4,-1,2,-7,-26,-34,-33,-66,-68,-68,-69,-78,-80,-80
UK,Aberdeenshire,grocery_pharm,GB,-3,4,3,-0,2,-0,-1,1,-5,5,-0,4,0,3,2,2,-2,-2,0,-2,-2,-2,-3,0,2,12,10,7,8,20,25,24,27,9,8,-10,-7,-23,-28,-29,-31,-39,-46,-46
UK,Aberdeenshire,parks,GB,-6,28,23,13,10,1,-1,15,-13,8,3,3,-10,-1,5,18,29,29,36,35,15,45,35,30,21,9,15,-6,4,16,18,21,26,20,19,28,-5,-22,-21,-14,-26,-51,-45,-45
UK,Aberdeenshire,transit,GB,1,1,1,-7,4,3,6,9,-8,1,-1,-4,2,6,5,0,-1,1,5,1,0,18,-5,-1,-4,2,0,-12,2,-8,-16,-17,-15,-21,-25,-20,-36,-56,-59,-59,-62,-66,-58,-57.99999999999999
UK,Aberdeenshire,workplace,GB,-3,-17,-11,-10,1,0,-0,4,-0,1,2,2,0,0,-1,1,2,2,3,2,1,1,2,2,2,1,-1,-3,-5,-5,-11,-18,-23,-25,-22,-26,-42,-57,-64,-66,-67,-55,-52,-52
UK,Aberdeenshire,residential,GB,-0,2,1,2,0,1,1,-1,2,1,1,0,1,0,-0,0,-0,0,-0,-0,0,-2,0,-0,1,1,1,3,1,3,6,9,10,11,9,NA,16,23,26,26,27,NA,NA,27
UK,Angus council,retail_recr,GB,4,13,7,7,8,6,-1,18,-5,4,6,10,9,9,12,5,11,9,10,12,3,18,6,7,5,3,11,1,10,9,-1,-4,-3,-10,-33,-32,-32,-68,-71,-75,-73,-82,-80,-80
UK,Angus council,grocery_pharm,GB,-8,-2,-1,-0,-2,-3,-1,-5,-9,2,-2,-2,-3,2,-6,2,1,4,2,0,6,-4,0,3,3,10,6,10,10,16,21,21,23,8,15,-12,-6,-23,-28,-29,-28,-33,-44,-44
UK,Angus council,parks,GB,-22,10,0,6,16,2,-13,33,-22,10,2,18,-12,3,-5,14,NA,18,25,24,-0,28,6,10,6,2,15,-6,33,14,12,25,NA,37,27,70,12,-4,-6,-27,-25,-42,-28,-28.000000000000004
UK,Angus council,transit,GB,2,2,3,4,8,1,-7,13,-5,8,4,12,4,7,-0,6,6,3,1,2,-0,7,6,10,3,-2,-1,-9,7,-5,-8,-20,-18,-14,-29,-2,-35,-51,-52,-58,-57,-63,-51,-51
UK,Angus council,workplace,GB,-4,-17,-0,1,-1,-1,-3,1,-3,-0,1,0,-0,1,-5,-1,-0,1,-0,0,-1,-3,-1,-0,-0,-1,-2,-1,-4,-7,-9,-17,-21,-22,-23,-25,-39,-57,-63,-65,-65,-56,-48,-48
UK,Angus council,residential,GB,NA,3,1,0,1,1,NA,NA,2,0,0,0,1,NA,NA,1,-0,0,-0,-0,NA,NA,1,0,1,1,1,NA,NA,3,5,8,8,9,NA,NA,13,20,NA,NA,NA,NA,NA,20
UK,Antrim and Newtownabbey,retail_recr,GB,-6,8,10,5,3,2,-4,-2,-0,2,2,3,-1,2,1,5,7,5,6,4,-2,6,1,4,2,4,-1,-13,-15,3,-11,-18,-14,-21,-43,-56,-38,-60,-66,-66,-67,-75,-81,-81
UK,Antrim and Newtownabbey,grocery_pharm,GB,-3,-6,-5,-5,-4,-5,-4,-0,-0,3,1,1,0,-2,-6,1,3,5,5,1,4,5,3,9,10,30,19,11,4,25,10,19,17,12,16,-18,-4,-15,-18,-24,-24,-28,-46,-46
UK,Antrim and Newtownabbey,parks,GB,NA,NA,NA,NA,NA,NA,-44,7,NA,NA,NA,NA,NA,-31,-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-56,-61,-61
UK,Antrim and Newtownabbey,transit,GB,3,10,12,4,8,0,-6,-1,13,12,8,17,6,1,2,10,8,7,17,13,-1,4,13,11,7,7,-5,-21,-19,-13,-33,-30,-36,-49,-57,-64,-63,-70,-76,-73,-79,-80,-89,-89
UK,Antrim and Newtownabbey,workplace,GB,-1,-14,-14,-14,-14,-15,-2,-2,-1,-1,1,1,2,0,-4,2,1,1,2,2,2,0,2,1,1,-1,-3,-2,-4,-18,-50,-19,-23,-25,-21,-27,-40,-54,-62,-64,-65,-57,-52,-52
UK,Antrim and Newtownabbey,residential,GB,NA,3,3,3,3,3,2,NA,1,0,0,-0,-0,0,NA,-0,-1,-0,0,-0,-0,NA,1,0,1,2,2,4,NA,6,17,10,12,13,NA,NA,17,23,27,28,29,NA,NA,28.999999999999996
UK,Ards and North Down,retail_recr,GB,-2,3,7,-1,8,-1,-6,-0,-1,1,1,2,-1,3,5,3,4,6,3,2,2,3,-1,3,1,6,0,-9,-8,6,-2,-10,-10,-18,-38,-48,-38,-60,-63,-64,-68,-74,-78,-78
UK,Ards and North Down,grocery_pharm,GB,-5,-1,-4,-12,-3,-5,-6,-2,-2,3,-3,1,2,-1,1,7,2,1,4,4,3,2,1,5,3,13,17,13,10,26,7,12,10,12,15,-6,-4,-21,-25,-25,-22,-22,-39,-39
UK,Ards and North Down,parks,GB,-10,3,17,-26,10,-3,-20,5,-13,4,-9,1,-16,-7,5,4,10,3,12,3,19,10,-20,4,-18,-14,2,-23,3,-10,-4,-8,21,31,-9,11,-31,-33,-40,-17,-45,-43,-57,-56.99999999999999
UK,Ards and North Down,transit,GB,-8,-11,-15,-17,-9,-18,-20,0,-11,-8,-1,-4,-7,-7,5,-2,-5,1,-3,-3,-4,8,-6,-6,-7,-9,-9,-19,-2,-17,-47,-28,-29,-32,-36,-13,-49,-63,-65,-65,-68,-60,-57,-56.99999999999999
UK,Ards and North Down,workplace,GB,-3,-14,-16,-17,-16,-16,-4,-2,-2,-1,-1,-1,1,-0,0,1,1,1,2,2,2,0,2,0,0,-1,-1,-1,-5,-14,-47,-18,-23,-26,-28,-37,-41,-57,-65,-68,-68,-59,-56,-56.00000000000001
UK,Ards and North Down,residential,GB,NA,2,2,4,3,4,2,NA,1,1,0,0,1,1,NA,0,-0,-0,0,-0,0,NA,1,1,1,2,2,4,NA,5,15,9,11,12,12,NA,16,23,26,27,28,NA,NA,28.000000000000004
UK,Argyll and Bute Council,retail_recr,GB,12,11,10,7,5,-7,-12,10,1,6,5,2,-2,6,10,9,10,18,7,4,-1,16,9,9,5,-2,8,2,13,-0,-5,-6,-9,-16,-41,-43,-42,-77,-78,-74,-79,-83,-88,-88
UK,Argyll and Bute Council,grocery_pharm,GB,0,4,7,4,1,-4,-11,-3,1,3,0,-3,1,1,-3,6,4,10,7,8,1,9,4,6,9,11,15,9,18,24,23,27,26,11,11,-4,-4,-31,-32,-38,-35,-44,-45,-45
UK,Argyll and Bute Council,parks,GB,20,29,41,27,21,-1,-20,20,8,24,22,12,6,3,10,26,39,37,18,31,4,38,15,30,24,0,41,6,46,24,19,22,36,56,29,68,3,-31,-41,-32,-37,-49,-34,-34
UK,Argyll and Bute Council,transit,GB,-4,17,20,14,4,-3,-17,9,13,8,12,4,6,7,2,28,14,20,13,16,3,20,18,13,7,1,20,6,15,15,-2,-4,3,0,-12,-1,-18,-52,-56,-57,-61,-63,-57,-56.99999999999999
UK,Argyll and Bute Council,workplace,GB,-2,1,-0,-1,1,-2,0,2,1,-1,-1,-2,0,6,4,2,1,1,-0,2,1,4,-0,-1,-1,-1,-3,2,1,-3,-9,-15,-19,-21,-23,-27,-41,-59,-65,-65,-65,-57,-52,-52
UK,Argyll and Bute Council,residential,GB,NA,1,1,1,1,2,NA,NA,1,0,1,1,1,NA,NA,0,-0,-1,0,0,NA,NA,1,1,2,2,0,NA,NA,3,5,7,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
UK,Armagh City and Banbridge and Craigavon,retail_recr,GB,-5,4,9,0,1,-3,-4,-5,-5,-3,-3,-1,-2,-2,2,3,2,5,0,-1,-1,1,-5,3,-2,0,-4,-13,-16,-1,-16,-18,-17,-25,-39,-50,-35,-60,-66,-67,-68,-75,-82,-82
UK,Armagh City and Banbridge and Craigavon,grocery_pharm,GB,-8,-1,-1,-4,-3,-1,1,1,3,6,1,1,2,1,-1,4,2,1,2,3,3,1,4,8,9,24,17,6,3,20,3,8,12,4,8,-12,-8,-16,-22,-24,-24,-29,-45,-45
UK,Armagh City and Banbridge and Craigavon,parks,GB,-33,4,4,-30,8,-10,-20,17,-10,0,5,9,-12,-31,2,4,15,39,17,12,-6,3,-21,4,-18,-21,7,-31,11,-4,-21,9,36,31,-22,9,-17,-46,-50,-42,-50,-64,-66,-66
UK,Armagh City and Banbridge and Craigavon,transit,GB,-11,-8,-13,-16,-11,-12,-3,-3,-4,-2,-7,-2,-4,-6,0,-1,4,-1,-3,-3,-1,-3,-8,-1,-6,-14,-12,-26,-23,-28,-50,-37,-32,-40,-38,-32,-50,-58,-63,-64,-66,-63,-65,-65
UK,Armagh City and Banbridge and Craigavon,workplace,GB,-1,-15,-15,-12,-10,-11,-1,-0,-0,1,1,0,-1,1,-3,1,2,1,1,2,1,-3,1,1,-0,-1,-2,-3,-3,-19,-51,-18,-19,-22,-22,-29,-34,-47,-55,-59,-60,-51,-47,-47
UK,Armagh City and Banbridge and Craigavon,residential,GB,1,3,3,3,3,2,1,-0,1,0,0,0,0,1,-0,0,-0,-0,0,-0,-0,-0,1,1,2,2,2,4,3,7,17,10,10,12,11,NA,15,21,24,26,27,NA,NA,27
UK,Bath and North East Somerset,retail_recr,GB,-2,22,26,22,16,15,11,6,-4,1,7,2,-3,2,19,6,12,0,-2,3,2,4,1,-3,2,-2,-2,-2,-11,-6,-22,-35,-40,-47,-66,-69,-60,-79,-82,-83,-86,-91,-91,-91
UK,Bath and North East Somerset,grocery_pharm,GB,-3,2,1,0,2,-1,-1,1,0,2,-0,3,0,3,6,3,3,0,7,5,4,3,5,2,6,11,11,13,8,21,24,16,21,5,-1,-17,-13,-33,-31,-32,-35,-44,-48,-48
UK,Bath and North East Somerset,parks,GB,-26,32,38,32,17,37,-4,-2,-14,-1,14,10,-23,-31,30,12,14,-11,-8,28,4,8,-1,-1,20,-3,12,-4,18,36,1,0,-17,-9,-17,9,3,-20,-16,-18,-38,-69,-54,-54
UK,Bath and North East Somerset,transit,GB,2,7,12,6,4,8,16,15,2,10,5,6,11,7,31,6,8,1,3,8,11,16,-2,2,0,0,-3,-4,18,-8,-24,-40,-45,-47,-49,-45,-56,-70,-73,-72,-74,-75,-75,-75
UK,Bath and North East Somerset,workplace,GB,-3,-9,-9,-11,-10,-14,3,2,3,7,4,6,4,5,5,5,6,4,5,6,8,4,2,3,3,3,-0,4,-12,-7,-16,-30,-35,-38,-32,-44,-55,-67,-72,-74,-73,-64,-66,-66
UK,Bath and North East Somerset,residential,GB,NA,1,1,2,2,2,-1,NA,1,-0,0,-0,1,0,-1,-0,-1,1,1,-0,-1,-1,1,1,1,1,3,2,NA,4,8,13,15,16,NA,NA,19,25,29,29,30,NA,NA,30
UK,Bedford,retail_recr,GB,-10,9,9,6,2,3,-7,-7,-5,-4,-0,-2,-1,2,3,1,2,3,-2,1,-2,-1,-2,-4,-4,-3,-6,-10,-17,-6,-12,-19,-20,-28,-44,-55,-40,-73,-76,-75,-78,-85,-86,-86
